country,year,helped_a_stranger
Afghanistan,2015,0.554438539
Albania,2015,0.456990471
Argentina,2015,0.526688469
Armenia,2015,0.467813522
Australia,2015,0.681437902
Austria,2015,0.522285919
Azerbaijan,2015,0.33319223
Bahrain,2015,0.65589884
Bangladesh,2015,0.561780495
Belarus,2015,0.343192564
Belgium,2015,0.543252514
Benin,2015,0.448587617
Bhutan,2015,0.515618043
Bolivia,2015,0.550499444
Bosnia and Herzegovina,2015,0.350121516
Botswana,2015,0.732498176
Brazil,2015,0.539115843
Bulgaria,2015,0.424727379
Burkina Faso,2015,0.626926169
Cambodia,2015,0.246659533
Cameroon,2015,0.667280001
Canada,2015,0.650262188
Chad,2015,0.482823028
Chile,2015,0.594729394
China,2015,0.2397816
Colombia,2015,0.586322694
Congo (Kinshasa),2015,0.382048536
Congo Brazzaville,2015,0.635712067
Costa Rica,2015,0.61048752
Cote d'Ivoire,2015,0.54476971
Croatia,2015,0.297447213
Cyprus,2015,0.527372949
Czech Republic,2015,0.304976915
Denmark,2015,0.544876919
Dominican Republic,2015,0.639742455
Ecuador,2015,0.470453106
Egypt,2015,0.473737954
El Salvador,2015,0.501918542
Estonia,2015,0.351120574
Ethiopia,2015,0.446896333
Finland,2015,0.554450101
France,2015,0.373020441
Gabon,2015,0.637249348
Georgia,2015,0.403984391
Germany,2015,0.548397065
Ghana,2015,0.523568178
Greece,2015,0.401634874
Guatemala,2015,0.61681963
Guinea,2015,0.635400184
Haiti,2015,0.424849824
Honduras,2015,0.433895005
Hungary,2015,0.341983761
Iceland,2015,0.515978153
India,2015,0.429098337
Indonesia,2015,0.426536445
Iran,2015,0.529282585
Iraq,2015,0.814449286
Ireland,2015,0.561762785
Israel,2015,0.494840573
Italy,2015,0.434887044
Japan,2015,0.253452967
Jordan,2015,0.648072572
Kazakhstan,2015,0.375163688
Kenya,2015,0.70133657
Kosovo,2015,0.530818607
Kuwait,2015,0.776953998
Kyrgyzstan,2015,0.549423252
Latvia,2015,0.328597323
Lebanon,2015,0.422531026
Liberia,2015,0.717759897
Libya,2015,0.78814555
Lithuania,2015,0.436265332
Luxembourg,2015,0.347745228
Madagascar,2015,0.27777363
Malawi,2015,0.74494504
Malaysia,2015,0.481504323
Mali,2015,0.594089207
Malta,2015,0.473672716
Mauritania,2015,0.366680551
Mexico,2015,0.466843528
"Moldova, Republic of",2015,0.368150115
Mongolia,2015,0.462777601
Montenegro,2015,0.34938321
Morocco,2015,0.535332475
Mozambique,2015,0.529379201
Myanmar,2015,0.629597219
Nepal,2015,0.459479656
Netherlands (Kingdom of the),2015,0.55476521
New Zealand,2015,0.61404607
Nicaragua,2015,0.423036746
Niger,2015,0.465712573
Nigeria,2015,0.678103138
North Macedonia,2015,0.348292722
Northern Cyprus,2015,0.588439846
Norway,2015,0.517138495
Pakistan,2015,0.438509257
Panama,2015,0.600117167
Paraguay,2015,0.314961138
Peru,2015,0.598550529
Philippines,2015,0.552312023
Poland,2015,0.416455009
Portugal,2015,0.500354489
Romania,2015,0.573584884
Russian Federation,2015,0.353466659
Rwanda,2015,0.356216601
Saudi Arabia,2015,0.727809114
Senegal,2015,0.609810775
Serbia,2015,0.281166756
Sierra Leone,2015,0.730972227
Singapore,2015,0.497152082
Slovakia,2015,0.316469554
Slovenia,2015,0.515214025
Somalia,2015,0.771503982
South Africa,2015,0.65358186
South Korea,2015,0.460009907
South Sudan,2015,0.591636709
Spain,2015,0.477872578
Sri Lanka,2015,0.607473864
State of Palestine,2015,0.341330983
Sweden,2015,0.586265926
Switzerland,2015,0.534599165
Syria,2015,0.615035405
Taiwan (Province of China),2015,0.575170602
Tajikistan,2015,0.487428289
Tanzania,2015,0.6385533
Thailand,2015,0.44302159
Togo,2015,0.529691686
Tunisia,2015,0.50561173
Türkiye,2015,0.725193438
Turkmenistan,2015,0.49005953
Uganda,2015,0.719451756
Ukraine,2015,0.357337154
United Arab Emirates,2015,0.748036461
United Kingdom of Great Britain and Northern Ireland,2015,0.609912767
United States of America,2015,0.730793503
Uruguay,2015,0.609029409
Uzbekistan,2015,0.673702913
Venezuela,2015,0.400537757
Vietnam,2015,0.548689863
Yemen,2015,0.406341293
Zambia,2015,0.66956806
Zimbabwe,2015,0.521512211
Afghanistan,2016,0.462660804
Albania,2016,0.434988655
Argentina,2016,0.555695751
Armenia,2016,0.439009396
Australia,2016,0.655948237
Austria,2016,0.512642948
Azerbaijan,2016,0.302074696
Bahrain,2016,0.723744092
Bangladesh,2016,0.337270377
Belarus,2016,0.267707944
Belgium,2016,0.459880068
Benin,2016,0.407871055
Bolivia,2016,0.536330767
Bosnia and Herzegovina,2016,0.531485964
Botswana,2016,0.639865994
Brazil,2016,0.535610679
Bulgaria,2016,0.335450892
Burkina Faso,2016,0.514671391
Cambodia,2016,0.177532323
Cameroon,2016,0.586445818
Canada,2016,0.668550519
Central African Republic,2016,0.40942757
Chad,2016,0.435050508
Chile,2016,0.505516901
China,2016,0.295650286
Colombia,2016,0.629141163
Congo (Kinshasa),2016,0.361685111
Congo Brazzaville,2016,0.645312706
Costa Rica,2016,0.63411124
Cote d'Ivoire,2016,0.566816044
Croatia,2016,0.206408667
Cyprus,2016,0.543973699
Czech Republic,2016,0.230314483
Denmark,2016,0.573116635
Dominican Republic,2016,0.653787279
Ecuador,2016,0.562124081
Egypt,2016,0.542904921
El Salvador,2016,0.493630222
Estonia,2016,0.360581067
Ethiopia,2016,0.397649826
Finland,2016,0.545761718
France,2016,0.387193141
Gabon,2016,0.58589262
Georgia,2016,0.378024472
Germany,2016,0.575048172
Ghana,2016,0.59839671
Greece,2016,0.497810005
Guatemala,2016,0.581457666
Guinea,2016,0.529620114
Haiti,2016,0.35352122
Honduras,2016,0.537215846
Hong Kong S.A.R. of China,2016,0.592181367
Hungary,2016,0.363894431
Iceland,2016,0.438427318
India,2016,0.364613681
Indonesia,2016,0.474488023
Iran,2016,0.605051278
Iraq,2016,0.778803039
Ireland,2016,0.606825117
Israel,2016,0.437997571
Italy,2016,0.444276218
Japan,2016,0.231938721
Jordan,2016,0.557919375
Kazakhstan,2016,0.400542364
Kenya,2016,0.762643732
Kosovo,2016,0.538165808
Kuwait,2016,0.741379492
Kyrgyzstan,2016,0.462000152
Latvia,2016,0.284604932
Lebanon,2016,0.460673697
Lesotho,2016,0.668154427
Liberia,2016,0.749029157
Libya,2016,0.766014854
Lithuania,2016,0.277046112
Luxembourg,2016,0.373488602
Madagascar,2016,0.268836857
Malawi,2016,0.694688081
Mali,2016,0.500191393
Malta,2016,0.447301331
Mauritania,2016,0.390379422
Mauritius,2016,0.387430661
Mexico,2016,0.457765193
"Moldova, Republic of",2016,0.397751007
Mongolia,2016,0.49445391
Montenegro,2016,0.395952935
Morocco,2016,0.431276854
Myanmar,2016,0.532903012
Nepal,2016,0.438215309
Netherlands (Kingdom of the),2016,0.509851294
New Zealand,2016,0.65204158
Nicaragua,2016,0.37553186
Niger,2016,0.44530202
Nigeria,2016,0.692630129
North Macedonia,2016,0.492402404
Northern Cyprus,2016,0.534171772
Norway,2016,0.489740934
Pakistan,2016,0.4933315
Panama,2016,0.581992198
Paraguay,2016,0.290965266
Peru,2016,0.522909121
Philippines,2016,0.509273643
Poland,2016,0.374434968
Portugal,2016,0.463857826
Romania,2016,0.597268545
Russian Federation,2016,0.302560425
Rwanda,2016,0.443916825
Saudi Arabia,2016,0.710870333
Senegal,2016,0.591547837
Serbia,2016,0.21104273
Sierra Leone,2016,0.814277543
Singapore,2016,0.405953647
Slovakia,2016,0.328466958
Slovenia,2016,0.398209911
Somalia,2016,0.683733913
South Africa,2016,0.719711185
South Korea,2016,0.437128303
South Sudan,2016,0.558637463
Spain,2016,0.508180572
State of Palestine,2016,0.407888414
Sweden,2016,0.533147896
Switzerland,2016,0.392189266
Taiwan (Province of China),2016,0.536010962
Tajikistan,2016,0.448723625
Tanzania,2016,0.528857977
Thailand,2016,0.509958197
Togo,2016,0.447590622
Tunisia,2016,0.59978943
Türkiye,2016,0.744740307
Turkmenistan,2016,0.425629142
Uganda,2016,0.727007416
Ukraine,2016,0.416507079
United Arab Emirates,2016,0.706984226
United Kingdom of Great Britain and Northern Ireland,2016,0.576592117
United States of America,2016,0.728701481
Uruguay,2016,0.586550353
Uzbekistan,2016,0.552544857
Venezuela,2016,0.454808216
Vietnam,2016,0.366968151
Yemen,2016,0.306979724
Zambia,2016,0.693012991
Zimbabwe,2016,0.658702158
Afghanistan,2017,0.413098644
Albania,2017,0.422706975
Algeria,2017,0.534983678
Argentina,2017,0.515634624
Armenia,2017,0.448094283
Australia,2017,0.646451725
Austria,2017,0.524855242
Azerbaijan,2017,0.349590058
Bahrain,2017,0.743841531
Bangladesh,2017,0.570926822
Belarus,2017,0.309035979
Belgium,2017,0.511028726
Benin,2017,0.476213762
Bolivia,2017,0.485647759
Bosnia and Herzegovina,2017,0.368693641
Botswana,2017,0.588797432
Brazil,2017,0.428858926
Bulgaria,2017,0.421943746
Burkina Faso,2017,0.55844808
Cambodia,2017,0.178854928
Cameroon,2017,0.668524137
Canada,2017,0.569265002
Central African Republic,2017,0.515901083
Chad,2017,0.496779073
Chile,2017,0.541496805
China,2017,0.314768238
Colombia,2017,0.555024822
Congo (Kinshasa),2017,0.558866605
Congo Brazzaville,2017,0.505031818
Costa Rica,2017,0.588416709
Cote d'Ivoire,2017,0.553786232
Croatia,2017,0.245750932
Cyprus,2017,0.595729477
Czech Republic,2017,0.264613246
Denmark,2017,0.579553701
Dominican Republic,2017,0.64346081
Ecuador,2017,0.397581781
Egypt,2017,0.573569013
El Salvador,2017,0.394012283
Estonia,2017,0.337733563
Ethiopia,2017,0.424983297
Finland,2017,0.533692316
France,2017,0.369540214
Gabon,2017,0.540641486
Gambia,2017,0.737862984
Georgia,2017,0.474595867
Germany,2017,0.575545125
Ghana,2017,0.617602137
Greece,2017,0.355544186
Guatemala,2017,0.514719493
Guinea,2017,0.516406989
Haiti,2017,0.617717726
Honduras,2017,0.540406323
Hong Kong S.A.R. of China,2017,0.59520682
Hungary,2017,0.362881435
Iceland,2017,0.499181898
India,2017,0.310160209
Indonesia,2017,0.460810105
Iran,2017,0.613294279
Iraq,2017,0.805960895
Ireland,2017,0.644231227
Israel,2017,0.499581591
Italy,2017,0.463673226
Jamaica,2017,0.632461017
Japan,2017,0.234785235
Jordan,2017,0.684526854
Kazakhstan,2017,0.346626406
Kenya,2017,0.722941784
Kosovo,2017,0.496957842
Kuwait,2017,0.801730283
Kyrgyzstan,2017,0.515778766
Lao People's Democratic Republic,2017,0.217755041
Latvia,2017,0.283872765
Lebanon,2017,0.489839826
Lesotho,2017,0.580479975
Liberia,2017,0.79928476
Libya,2017,0.827899523
Lithuania,2017,0.476707237
Luxembourg,2017,0.398334381
Madagascar,2017,0.387724672
Malawi,2017,0.655320851
Maldives,2017,0.509051942
Mali,2017,0.51858507
Malta,2017,0.534539538
Mauritania,2017,0.370711706
