"ISO","year","helped_a_stranger","country","value","avg_gdp","avg_help"
"AFG",2015,55.4438539,"Afghanistan",565.5697304,471.040418622222,47.0363244625
"AFG",2016,46.2660804,"Afghanistan",522.0822156,471.040418622222,47.0363244625
"AFG",2017,41.3098644,"Afghanistan",525.4697709,471.040418622222,47.0363244625
"AFG",2018,44.1605572,"Afghanistan",491.3372214,471.040418622222,47.0363244625
"AFG",2019,47.9797685,"Afghanistan",496.6025043,471.040418622222,47.0363244625
"AFG",2021,44.0442954,"Afghanistan",356.4962141,471.040418622222,47.0363244625
"AFG",2022,44.1116099,"Afghanistan",357.2611528,471.040418622222,47.0363244625
"AFG",2023,52.974566,"Afghanistan",413.7578947,471.040418622222,47.0363244625
"ALB",2015,45.6990471,"Albania",3981.726623,6080.7355686,50.31122851
"ALB",2016,43.4988655,"Albania",4168.375445,6080.7355686,50.31122851
"ALB",2017,42.2706975,"Albania",4614.047969,6080.7355686,50.31122851
"ALB",2018,47.6625316,"Albania",5365.488802,6080.7355686,50.31122851
"ALB",2019,45.0397729,"Albania",5460.430509,6080.7355686,50.31122851
"ALB",2020,58.0049994,"Albania",5370.7775,6080.7355686,50.31122851
"ALB",2021,57.1717164,"Albania",6413.282808,6080.7355686,50.31122851
"ALB",2022,51.914499,"Albania",6846.426694,6080.7355686,50.31122851
"ALB",2023,61.130843,"Albania",8575.171346,6080.7355686,50.31122851
"ALB",2024,50.7193127,"Albania",10011.62799,6080.7355686,50.31122851
"ARE",2015,74.8036461,"United Arab Emirates",43534.99727,44599.452285,65.41849229
"ARE",2016,70.6984226,"United Arab Emirates",41326.40182,44599.452285,65.41849229
"ARE",2017,68.2969154,"United Arab Emirates",42340.59172,44599.452285,65.41849229
"ARE",2018,59.9113972,"United Arab Emirates",45689.857,44599.452285,65.41849229
"ARE",2019,61.9048261,"United Arab Emirates",44251.45414,44599.452285,65.41849229
"ARE",2020,65.7246528,"United Arab Emirates",37173.87541,44599.452285,65.41849229
"ARE",2021,64.8884024,"United Arab Emirates",43360.0211,44599.452285,65.41849229
"ARE",2022,62.5839106,"United Arab Emirates",49899.0653,44599.452285,65.41849229
"ARE",2023,65.4879548,"United Arab Emirates",49040.69475,44599.452285,65.41849229
"ARE",2024,59.8847949,"United Arab Emirates",49377.56434,44599.452285,65.41849229
"ARG",2015,52.6688469,"Argentina",13679.6265,12387.5849537,59.06272083
"ARG",2016,55.5695751,"Argentina",12699.96231,12387.5849537,59.06272083
"ARG",2017,51.5634624,"Argentina",14532.50093,12387.5849537,59.06272083
"ARG",2018,49.693509,"Argentina",11752.79989,12387.5849537,59.06272083
"ARG",2019,51.2755897,"Argentina",9955.974787,12387.5849537,59.06272083
"ARG",2020,58.1512756,"Argentina",8535.59938,12387.5849537,59.06272083
"ARG",2021,75.6147372,"Argentina",10738.01792,12387.5849537,59.06272083
"ARG",2022,65.8415385,"Argentina",13935.68111,12387.5849537,59.06272083
"ARG",2023,68.342407,"Argentina",14187.48273,12387.5849537,59.06272083
"ARG",2024,61.9062669,"Argentina",13858.20398,12387.5849537,59.06272083
"ARM",2015,46.7813522,"Armenia",3512.393503,5185.082105,52.8421779222222
"ARM",2016,43.9009396,"Armenia",3524.424769,5185.082105,52.8421779222222
"ARM",2017,44.8094283,"Armenia",3869.053739,5185.082105,52.8421779222222
"ARM",2018,51.5667071,"Armenia",4196.005623,5185.082105,52.8421779222222
"ARM",2019,54.0055915,"Armenia",4597.228874,5185.082105,52.8421779222222
"ARM",2021,60.940279,"Armenia",4685.179971,5185.082105,52.8421779222222
"ARM",2022,58.8321245,"Armenia",6571.974455,5185.082105,52.8421779222222
"ARM",2023,61.7412954,"Armenia",8125.273958,5185.082105,52.8421779222222
"ARM",2024,53.0018837,"Armenia",8500.605225,5185.082105,52.8421779222222
"AUS",2015,68.1437902,"Australia",56739.02653,57933.764295,62.9627246
"AUS",2016,65.5948237,"Australia",49888.04108,57933.764295,62.9627246
"AUS",2017,64.6451725,"Australia",53901.71454,57933.764295,62.9627246
"AUS",2018,45.2186651,"Australia",57196.42208,57933.764295,62.9627246
"AUS",2019,56.7736711,"Australia",54972.70179,57933.764295,62.9627246
"AUS",2020,57.1712283,"Australia",51791.54018,57933.764295,62.9627246
"AUS",2021,69.3622996,"Australia",60607.77886,57933.764295,62.9627246
"AUS",2022,64.641022,"Australia",64997.01365,57933.764295,62.9627246
"AUS",2023,69.2116302,"Australia",64835.91998,57933.764295,62.9627246
"AUS",2024,68.8649433,"Australia",64407.48426,57933.764295,62.9627246
"AUT",2015,52.2285919,"Austria",43915.22802,50462.910342,50.77840876
"AUT",2016,51.2642948,"Austria",45061.49939,50462.910342,50.77840876
"AUT",2017,52.4855242,"Austria",47163.74258,50462.910342,50.77840876
"AUT",2018,48.8610571,"Austria",51194.07498,50462.910342,50.77840876
"AUT",2019,51.2179803,"Austria",49885.99474,50462.910342,50.77840876
"AUT",2020,41.7595297,"Austria",48716.40989,50462.910342,50.77840876
"AUT",2021,50.8788087,"Austria",53648.71907,50462.910342,50.77840876
"AUT",2022,49.7820958,"Austria",52176.66491,50462.910342,50.77840876
"AUT",2023,51.8938263,"Austria",56033.57379,50462.910342,50.77840876
"AUT",2024,57.4123788,"Austria",56833.19605,50462.910342,50.77840876
"AZE",2015,33.319223,"Azerbaijan",5500.503646,5489.934928,45.1540485
"AZE",2016,30.2074696,"Azerbaijan",3880.685228,5489.934928,45.1540485
"AZE",2017,34.9590058,"Azerbaijan",4147.198142,5489.934928,45.1540485
"AZE",2018,37.6925155,"Azerbaijan",4739.794312,5489.934928,45.1540485
"AZE",2019,34.2821231,"Azerbaijan",4805.753718,5489.934928,45.1540485
"AZE",2022,66.5684392,"Azerbaijan",7770.594223,5489.934928,45.1540485
"AZE",2023,63.4319403,"Azerbaijan",7133.02838,5489.934928,45.1540485
"AZE",2024,60.7716715,"Azerbaijan",7283.83563,5489.934928,45.1540485
"BDI",2018,33.7786854,"Burundi",224.8993924,220.88217402,33.7786854
"BEL",2015,54.3252514,"Belgium",40893.80454,48001.899372,44.98427446
"BEL",2016,45.9880068,"Belgium",41854.54983,48001.899372,44.98427446
"BEL",2017,51.1028726,"Belgium",44035.32394,48001.899372,44.98427446
"BEL",2018,31.5905575,"Belgium",47487.21004,48001.899372,44.98427446
"BEL",2019,34.9066261,"Belgium",46716.62275,48001.899372,44.98427446
"BEL",2020,24.5769203,"Belgium",45906.28758,48001.899372,44.98427446
"BEL",2021,51.8409603,"Belgium",51658.23829,48001.899372,44.98427446
"BEL",2022,51.7153966,"Belgium",50822.25185,48001.899372,44.98427446
"BEL",2023,55.4418098,"Belgium",54690.09427,48001.899372,44.98427446
"BEL",2024,48.3543432,"Belgium",55954.61063,48001.899372,44.98427446
"BEN",2015,44.8587617,"Benin",1002.418869,1201.5320163,49.69950084
"BEN",2016,40.7871055,"Benin",1010.533896,1201.5320163,49.69950084
"BEN",2017,47.6213762,"Benin",1054.974081,1201.5320163,49.69950084
"BEN",2018,46.6760099,"Benin",1151.74097,1201.5320163,49.69950084
"BEN",2019,51.0650462,"Benin",1130.821353,1201.5320163,49.69950084
"BEN",2020,60.5419659,"Benin",1200.194266,1201.5320163,49.69950084
"BEN",2021,54.0185074,"Benin",1318.651581,1201.5320163,49.69950084
"BEN",2022,49.6476094,"Benin",1266.42711,1201.5320163,49.69950084
"BEN",2023,52.4685353,"Benin",1394.177847,1201.5320163,49.69950084
"BEN",2024,49.3100909,"Benin",1485.38019,1201.5320163,49.69950084
"BFA",2015,62.6926169,"Burkina Faso",630.1247508,797.21791678,59.4441590222222
"BFA",2016,51.4671391,"Burkina Faso",663.7423648,797.21791678,59.4441590222222
"BFA",2017,55.844808,"Burkina Faso",709.0915359,797.21791678,59.4441590222222
"BFA",2018,53.3062201,"Burkina Faso",777.4656185,797.21791678,59.4441590222222
"BFA",2019,54.9668948,"Burkina Faso",764.8530778,797.21791678,59.4441590222222
"BFA",2020,67.1259653,"Burkina Faso",825.2370388,797.21791678,59.4441590222222
"BFA",2021,60.8826885,"Burkina Faso",895.5352884,797.21791678,59.4441590222222
"BFA",2023,64.3415279,"Burkina Faso",882.6898101,797.21791678,59.4441590222222
"BFA",2024,64.3695706,"Burkina Faso",987.3213781,797.21791678,59.4441590222222
"BGD",2015,56.1780495,"Bangladesh",1224.386477,2137.2414906,62.07442146
"BGD",2016,33.7270377,"Bangladesh",1649.283809,2137.2414906,62.07442146
"BGD",2017,57.0926822,"Bangladesh",1811.082217,2137.2414906,62.07442146
"BGD",2018,60.3577045,"Bangladesh",1965.243727,2137.2414906,62.07442146
"BGD",2019,58.2445608,"Bangladesh",2129.79897,2137.2414906,62.07442146
"BGD",2020,63.3830303,"Bangladesh",2248.850788,2137.2414906,62.07442146
"BGD",2021,68.5099952,"Bangladesh",2482.849178,2137.2414906,62.07442146
"BGD",2022,67.9221258,"Bangladesh",2716.485928,2137.2414906,62.07442146
"BGD",2023,81.2933902,"Bangladesh",2551.017738,2137.2414906,62.07442146
"BGD",2024,74.0356384,"Bangladesh",2593.416074,2137.2414906,62.07442146
"BGR",2015,42.4727379,"Bulgaria",7268.654455,11507.114269,47.90031477
"BGR",2016,33.5450892,"Bulgaria",7822.499233,11507.114269,47.90031477
"BGR",2017,42.1943746,"Bulgaria",8696.689304,11507.114269,47.90031477
"BGR",2018,39.4981111,"Bulgaria",9872.385078,11507.114269,47.90031477
"BGR",2019,43.3605644,"Bulgaria",10372.80443,11507.114269,47.90031477
"BGR",2020,64.1087132,"Bulgaria",10769.94757,11507.114269,47.90031477
"BGR",2021,71.5021518,"Bulgaria",12972.21734,11507.114269,47.90031477
"BGR",2022,43.935863,"Bulgaria",13999.67192,11507.114269,47.90031477
"BGR",2023,47.5603505,"Bulgaria",15883.86185,11507.114269,47.90031477
"BGR",2024,50.825192,"Bulgaria",17412.41151,11507.114269,47.90031477
"BHR",2015,65.589884,"Bahrain",23734.05511,26720.249738,68.6762835714286
"BHR",2016,72.3744092,"Bahrain",23800.00144,26720.249738,68.6762835714286
"BHR",2017,74.3841531,"Bahrain",24784.76935,26720.249738,68.6762835714286
"BHR",2019,66.0316289,"Bahrain",27259.74386,26720.249738,68.6762835714286
"BHR",2020,64.4569309,"Bahrain",24342.84446,26720.249738,68.6762835714286
"BHR",2023,71.5005134,"Bahrain",29290.12842,26720.249738,68.6762835714286
